name,image,rating,phone,address,languages,specialties,pricing,payment_methods,equipement_et_service,couvert_max,nombre_salle,nombre_salle_clim,couvert_terrasse,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Restaurant Le Goût du Jour,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d0c/29-71-20465437-335x335.webp,9.3,04 32 76 32 16,"20, rue Saint-Etienne","EN, FR","végétalienne, fait maison, sans gluten, méditerranéenne, française, provençale, gastronomique, végétariens","12 €,45 €,54 €,70 €,16 €","Chèque,Espèces,American Express,Carte bancaire/crédit","Chaise bébé,Parking,Parking payant,Salle de réception,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants,Privatisable",40,1,1,0,09h00 - 23h00,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Vivotto,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5fc/129-197-2409857-335x335.webp,9.0,04 32 76 36 73,"34, rue des Trois Faucons","EN, FR","sans lactose, végétalienne, fait maison, sans gluten, méditerranéenne, italienne, saladerie, végétariens","11,95 €,14,95 €","Titre Restaurant,Carte bancaire/crédit","Chaise bébé,Parking à proximité,Terrasse ombragée,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration rapide,Plats à emporter/Plats cuisinés",30,1,1,40,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Chez Mamie,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/6b8/36-194-6930980-335x335.webp,0.0,04 13 39 04 88,41 – 43 rue Carnot,"EN, ES, FR","française, provençale, sans gluten, fait maison","26 €,30 €,10 €","Carte bancaire/crédit,Espèces","Terrasse,Climatisation,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",37,0,0,10,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Les Gustaves – Mercure Avignon TGV,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/65b/104-64-26820712-335x335.webp,9.0,04 32 76 89 07,2 Rue Mère Térésa,"EN, ES, FR, PT","méditerranéenne, fait maison, viande","25 €,15 €","American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Abris pour vélo ou VTT,Terrasse,Climatisation,Salle de réception,Parking,Piscine,Parking autocar,Parking privé,Chaise bébé,Parking gratuit,Animaux acceptés,Accès autocar,Location de salles,Boutique,Accès Internet Wifi,Restauration,Banquet,Restauration enfants,Salon de thé / Coffee shop,Privatisable",50,0,0,40,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Brut Butcher,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/558/87-214-6411863-335x335.webp,21.0,04 32 44 02 00,641 avenue de Saint Tronquet,FR,viande,,,,0,0,0,0,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h30 - 15h
Ô FONDUES by LE ROUGE GORGE,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/fe8/143-239-27193231-335x335.webp,0.0,04 86 34 27 27,"10 bis, rue Peyrolerie","EN, FR",française,"19 €,13 €","Carte bancaire/crédit,Chèque,Paiement sans contact","Bar,Animaux acceptés,Accès autocar,Location de salles,Accès Internet Wifi,Restauration,Traiteur,Privatisable",100,2,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
La Parenthèse d’Entraigues,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bdc/127-215-22534015-335x335.webp,9.5,09 50 61 63 22,719 route de Carpentras,FR,méditerranéenne,,,,0,0,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
La Tonnelle,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b45/113-176-2011249-335x335.webp,8.9,04 90 26 04 04,Restaurant la Tonnelle – Hôtel le Petit Manoir,EN,française,,"Titre Restaurant,Carte bancaire/crédit","Terrasse,Animaux acceptés,Accès Internet Wifi",80,0,0,80,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
Apium,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5e9/147-150-5871251-335x335.webp,9.4,04 90 25 45 06,4 Place Jean Jaurès,FR,française,,,,0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Margelle,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/237/24-77-22695192-335x335.webp,9.0,04 90 22 01 12,203 avenue de la Rétanque,FR,Non spécifié,,,,0,0,0,0,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
Au Bistrot d’Entraigues,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b84/20-21-22549780-335x335.webp,0.0,04 90 88 97 92,76 rue Daniel Lavorini,FR,Non spécifié,,,,50,0,0,0,09h00 - 23h00,09h00 - 23h00,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Brigitte coffee shop,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bfd/42-162-27894314-335x335.webp,9.0,+33(0)4 65 81 27 94,"3, Place Saint-Marc",FR,"sans lactose, Cuisine végétarienne, fait maison, sans gluten, française, provençale",,"Carte bancaire/crédit,Espèces,Paiement sans contact","Terrain ombragé,Terrasse,Toilettes,Chaise bébé,Animaux acceptés",20,0,0,20,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Tommy’s Diner,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/739/57-128-16416825-335x335.webp,0.0,04 13 41 66 10,311 chemin des Petits Rougiers,"EN, ES, FR","halal, fait maison, nord-américaine, Cuisine sud-américaine, végétariens",,"American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant,Apple Pay","Chaise bébé,Parking privé,Parking,Climatisation,Toilettes,Animaux acceptés,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Chez Papé et Mamé,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/dc1/89-195-6407001-335x335.webp,9.6,+33 (0)6 42 60 93 37,8 impasse du lavoir,"EN, FR",française,,,Animaux acceptés,60,0,0,35,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Chez Ju,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/9b3/222-154-4627166-335x335.webp,0.0,07 67 13 40 61,9 rue de la République,FR,Non spécifié,,,,0,1,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Salamandre,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e49/190-221-28171710-335x335.webp,9.2,+33(0)4 90 90 94 62,13 Place Jean Jaurès,FR,"végétalienne, végétariens",,"American Express,Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces,Titre Restaurant",Animaux acceptés,78,1,0,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Planet Rock,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/6c6/35-239-10546979-335x335.webp,11.0,+33 4 90 85 85 80,229 rue Graham Bell,FR,Non spécifié,,,,0,0,0,0,11h30 - 14h,11h30 - 14h,11h30 - 14h,11h30 - 14h,11h30 - 14h,11h30 - 14h,Fermé
La Table des Chartreux,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/3ea/109-73-21055853-335x335.webp,0.0,+33(0)4 90 94 23 38,RD 6580,FR,Non spécifié,,,,0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Najeti Hôtel la Magnaneraie – Bar à Manger,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/af0/234-215-3397610-335x335.webp,8.5,+33(0)4 90 25 11 11,37 rue Camp de Bataille,"DE, EN, FR",Non spécifié,,"American Express,Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces,Titre Restaurant","Abris pour vélo ou VTT,Terrasse,Climatisation,Salle de réception,Parking,Jardin,Piscine,Parking autocar,Parking privé,Chaise bébé,Terrasse ombragée,Animaux acceptés,Accès Internet Wifi,Restauration,Voiturier,Banquet,Restauration enfants,Traiteur",100,2,1,100,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Le Mas Lindo,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5c1/68-93-7036228-335x335.webp,18.0,+33(0)4 90 39 56 97,51 avenue du Mont-Ventoux,"EN, FR","méditerranéenne, française, espagnole, provençale, saladerie",,"Carte bancaire/crédit,Espèces,Titre Restaurant","Terrasse,Climatisation,Salle de réception,Parking,Parking autocar,Parking privé,Animaux acceptés,Restauration,Plats à emporter/Plats cuisinés",50,0,0,50,Fermé,18h30 - 23h30,Fermé,Fermé,18h30 - 23h30,18h30 - 23h30,Fermé
L’Annexe,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e9f/20-180-9352212-335x335.webp,9.1,+33(0)9 73 16 22 81,7 Place Saint-Marc,"EN, FR","fait maison, française, provençale, végétariens",,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Parking à proximité,Terrasse,Climatisation,Accès Internet Wifi,Restauration,Restauration enfants,Salon de thé / Coffee shop",100,1,0,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Gare,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/f38/5-206-5361157-335x335.webp,8.4,+ 33 (0)4 69 00 15 95,322 avenue de Saint Tronquet,"EN, FR, IT","française, fait maison, végétariens",,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Climatisation,Parking,Parking autocar,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants,Buffet",140,5,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
L’Annexe,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/68b/234-242-22409962-335x335.webp,23.0,06 34 19 17 35,69 avenue du General de Gaulle,FR,fait maison,,"Carte bancaire/crédit,Espèces",Animaux acceptés,0,0,0,0,07h - 15h,07h - 15h,07h - 15h,07h - 15h,07h - 15h,07h - 15h,Fermé
Le CBR – Brasserie,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e44/58-139-18058042-335x335.webp,8.0,09 51 68 88 47,361 allée Louis Montagnat,"EN, ES, FR",Non spécifié,,"Carte bancaire/crédit,Espèces,Titre Restaurant,Carte Ticket Restaurant,Paiement sans contact","Terrasse,Climatisation,Parking,Parking autocar,Chaise bébé,Parking gratuit,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants,Accès internet Wifi gratuit",100,0,0,30,08h30 - 15h,08h30 - 15h,08h30 - 15h,08h30 - 15h,08h30 - 15h,Fermé,Fermé
IT Trattoria,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/6c3/174-214-6411950-335x335.webp,22.0,04 84 51 27 27,641 avenue de Saint-Tronquet,FR,"méditerranéenne, italienne",,,,0,0,0,0,09h - 22h30,09h - 22h30,09h - 22h30,09h - 22h30,09h - 22h30,09h - 22h30,09h - 22h30
Chez Olivier Bistrot,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/970/161-243-22410145-335x335.webp,8.7,04 90 25 12 14,5 place Jean Jaurès,FR,Non spécifié,,,,0,0,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Les 4’Saisons,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/53b/248-211-22533112-335x335.webp,9.2,04 90 48 18 23,15 rue Laurent Bertrand,FR,Non spécifié,,,,0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Restaurant St Bénézet,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/a2a/163-164-2008227-335x335.webp,0.0,06 61 53 01 91,"10 Chemin de la Barthelasse, 84000 Avignon, France",FR,française,,,,0,0,0,0,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
Le Coude à Coude,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/cf6/24-100-5006360-335x335.webp,9.6,04 84 14 22 92,37 rue de la Saraillerie,"EN, FR","française, sans gluten, fait maison, végétariens","15 €,29 €,9 €,16 €","American Express,Carte bancaire/crédit,Espèces,Titre Restaurant","Terrasse,Animaux acceptés,Restauration,Plats à emporter/Plats cuisinés",14,1,0,18,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Casa Bronzini,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/0cf/186-204-28363962-335x335.webp,0.0,04 90 82 40 98,13 Place de l'Horloge,FR,fait maison,5 €,"Chèque,Carte bancaire/crédit,Titre Restaurant,Paiement sans contact","Bar,Terrasse,Climatisation,Chaise bébé,Animaux acceptés,Privatisable",120,2,2,120,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant Le 26,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/cb2/57-2-12976697-335x335.webp,9.1,04 90 86 51 53,"26, rue des Trois Faucons","EN, FR","méditerranéenne, française, halal, provençale, fait maison",,"Carte bancaire/crédit,Espèces,Titre Restaurant","Abris pour vélo ou VTT,Terrasse,Climatisation,Parking,Parking payant,Chaise bébé,Animaux acceptés,Animaux avec supplément,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants,Privatisable",54,2,2,18,09h00 - 23h00,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant Bar le Casino,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/4ec/3-252-15531011-335x335.webp,8.8,+33 (0)4 90 20 11 59,29 place de la Poste,"EN, ES, FR","française, provençale, fait maison",,"Carte bancaire/crédit,Chèque","Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Goût Pile,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c7f/58-251-4586298-335x335.webp,9.5,+33(0)4 90 01 71 24,62 place du Petit Pont,FR,Non spécifié,,,Terrasse,0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
L’Emulsion,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/1f8/53-141-6262069-335x335.webp,9.4,04 90 02 05 39,1 rue de l'Hôpital,FR,Non spécifié,,,,65,0,0,30,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Bar à tapas et à vins Marion Nous,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/648/35-11-12978979-335x335.webp,0.0,+33(0)9 84 47 43 39,1 Place des Carmes,"EN, FR",fait maison,,"Carte bancaire/crédit,Chèque,Espèces",Animaux acceptés,30,2,1,60,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Hortus Café,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/911/46-88-24074286-335x335.webp,0.0,+33 (0)4 90 25 55 95,Abbaye Saint-André – Fort Saint-André,FR,Non spécifié,,,,0,0,0,0,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
Ibis-Kitchen – Restaurant de l’Hotel Ibis Avignon Sud,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/a63/139-211-3724171-335x335.webp,7.9,04 90 87 11 00,71 Chemin de la Cristole (route de Marseille),"IT, DE, EN, ZH, ES, FR","sans gluten, végétariens","18 €,25 €,17 €,2 €,8,50 €","Chèque,Espèces,Titre Restaurant,American Express,Carte bancaire/crédit,Chèque-Vacances Classic","Jardin,Piscine,Chaise bébé,Parking gratuit,Parking,Ascenseur,Climatisation,Abris pour vélo ou VTT,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet,Restauration enfants",45,1,1,25,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant Pizzeria Bagatelle,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/48d/162-15-20385698-335x335.webp,7.4,04 90 86 71 35,"25, allée Antoine Pinay","IT, DE, EN, ES, FR","sans lactose, bio, Cuisine végétarienne, végétalienne, fait maison, sans gluten, méditerranéenne, italienne, poisson, française, provençale, saladerie, végétariens","7,90 €","Chèque,American Express,Carte bancaire/crédit,Titre Restaurant,Espèces,Chèque-Vacances Classic,Chèque-Vacances Connect","Jardin,Parking gratuit,Parking privé,Parking autocar,Parking,Terrasse ombragée,Bar,Terrasse,Equipements développement durable,Gestion des déchets,Aire de jeux,Salle de réception,Climatisation,Abris pour vélo ou VTT,Animaux acceptés,Location de salles,Animaux avec supplément,Boutique,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants,Salon de thé / Coffee shop,Brunch,Privatisable",160,2,1,80,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant Pizzéria Le Pili,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/984/204-181-20952524-335x335.webp,0.0,09 82 59 99 00,34- 36  Place des Corps Saints,"EN, ES, FR, IT, Arabe","Spécialités fromagères, méditerranéenne, française, italienne, espagnole, halal, provençale, fait maison, saladerie, viande","12 €,25 €","American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Terrasse,Climatisation,Parking,Jardin,Parking payant,Chaise bébé,Accès Internet Wifi,Restauration,Banquet,Plats à emporter/Plats cuisinés,Restauration enfants",0,1,0,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
